key;sv;en
admin.settings.contact_email;Kontakt-epost;"Contact email"
admin.settings.maintenance_mode;Underhållsläge;"Maintenance mode"
admin.settings.maintenance_mode_desc;"Underhållsläge (stänger sidan för besökare)";"Maintenance mode (closes site for visitors)"
admin.settings.allow_registration;"Tillåt registrering";"Allow registration"
admin.settings.allow_registration_desc;"Tillåt registrering av nya användare";"Allow registration of new users"
admin.settings.items_per_page;"Poster per sida";"Items per page"
admin.settings.session_lifetime;"Session-livstid (sekunder)";"Session lifetime (seconds)"
admin.settings.session_lifetime_help;"86400 = 24 timmar, 3600 = 1 timme";"86400 = 24 hours, 3600 = 1 hour"
admin.settings.max_login_attempts;"Max inloggningsförsök";"Max login attempts"
admin.settings.max_login_attempts_help;"Antal misslyckade försök innan IP blockeras";"Number of failed attempts before IP is blocked"
admin.settings.lockout_time;"Spärrtid (minuter)";"Lockout time (minutes)"
admin.settings.lockout_time_help;"Hur länge en IP är blockerad efter för många försök";"How long an IP is blocked after too many attempts"
admin.settings.system_info;Systeminformation;"System information"
admin.settings.php_version;PHP-version;"PHP version"
admin.settings.server;Server;Server
admin.settings.environment;Miljö;Environment
admin.settings.database;Databas;Database
admin.settings.timezone;Tidzon;Timezone
admin.sessions.active;"Aktiva sessioner";"Active sessions"
admin.sessions.unique_users;"Unika användare";"Unique users"
admin.sessions.unique_ips;"Unika IP-adresser";"Unique IP addresses"
admin.sessions.expired_to_clean;"Utgångna (att rensa)";"Expired (to clean)"
admin.sessions.clean_expired;"Rensa {count} utgångna sessioner";"Clean {count} expired sessions"
admin.sessions.expires;Utgår;Expires
admin.sessions.no_active;"Inga aktiva sessioner";"No active sessions"
admin.sessions.your_session;"Din session";"Your session"
admin.sessions.hours_left;"{hours}h kvar";"{hours}h left"
admin.sessions.confirm_terminate;"Avsluta denna session?";"Terminate this session?"
admin.sessions.terminate;Avsluta;Terminate
admin.sessions.terminated;"Session avslutad!";"Session terminated!"
admin.sessions.terminated_count;"{count} sessioner avslutade!";"{count} sessions terminated!"
admin.sessions.expired_cleaned;"{count} utgångna sessioner rensade!";"{count} expired sessions cleaned!"
admin.logs.total;Totalt;Total
admin.logs.last_24h;"Senaste 24h";"Last 24h"
admin.logs.failed_logins;"Misslyckade inloggningar";"Failed logins"
admin.logs.unique_ips_24h;"Unika IP:er (24h)";"Unique IPs (24h)"
admin.logs.no_results;"Inga loggar hittades";"No logs found"
admin.logs.time;Tid;Time
admin.logs.user;Användare;User
admin.logs.event;Händelse;Event
admin.logs.ip_address;IP-adress;"IP address"
admin.logs.search_placeholder;Sök...;Search...
error.back_home;"Tillbaka till startsidan";"Back to homepage"
error.requested_url;"Begärd URL";"Requested URL"
error.came_from;"Kom från";"Came from"
error.400.title;"400 - Felaktig begäran";"400 - Bad Request"
error.400.heading;"Felaktig begäran";"Bad Request"
error.400.message;"Servern kunde inte förstå din begäran.";"The server could not understand your request."
error.401.title;"401 - Auktorisering krävs";"401 - Authorization Required"
error.401.heading;"Auktorisering krävs";"Authorization Required"
error.401.message;"Du måste logga in för att se den här sidan.";"You must log in to view this page."
error.403.title;"403 - Förbjudet";"403 - Forbidden"
error.403.heading;Förbjudet;Forbidden
error.403.message;"Du har inte behörighet att se den här sidan.";"You do not have permission to view this page."
error.404.title;"404 - Sidan hittades inte";"404 - Page Not Found"
error.404.heading;"Sidan hittades inte";"Page Not Found"
error.404.message;"Sidan du letar efter finns inte eller har flyttats.";"The page you are looking for does not exist or has been moved."
error.500.title;"500 - Internt serverfel";"500 - Internal Server Error"
error.500.heading;"Internt serverfel";"Internal Server Error"
error.500.message;"Något gick fel på servern. Försök igen senare.";"Something went wrong on the server. Please try again later."
